Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What technologies do you use to visualize data? Select all that apply.
Equal Parts School and Self-Taught,"ArcGIS, Excel, ggplot2, Gephi, Illustrator, Java, Leaflet, Mapbox, Plotly, Python, QGIS, R, Tableau, Web Components, Pen & Paper, Other physical materials, Canvas, GeoDa"
Mostly Self-Taught,"Excel, Tableau, Piktochart, Venngage, Flourish"
Equal Parts School and Self-Taught,"Excel, Power BI, R, Tableau, Pen & Paper, PowerPoint"
Mostly Self-Taught,"Excel, Google data studio"
Mostly Self-Taught,"Excel, Google data studio"
Mostly Self-Taught,"D3, Illustrator, Leaflet, Power BI"
Mostly Self-Taught,"Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Angular, Excel, Java, R, React, Vega, Pen & Paper"
Equal Parts School and Self-Taught,"ArcGIS, D3, Excel, Illustrator, Leaflet, Mapbox, Processing, Python, QGIS, Pen & Paper, P5/Processing, Three.js"
Mostly Self-Taught,"D3, Excel, Java, Mapbox, Python, R, Vega, Vue, WebGL, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI"
Mostly Self-Taught,"Illustrator, Mapbox, Tableau"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Mapbox, kepler.gl, Python, Vega, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Gephi, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Gephi, Plotly, R, Tableau, Pen & Paper"
Mostly Self-Taught,"ggplot2, R"
Equal Parts School and Self-Taught,"Excel, ggplot2, Power BI, Python, R, Tableau, Matplotlib"
Mostly From School (or other formal courses),"ArcGIS, D3, Excel, Gephi, Illustrator, R, Tableau"
Mostly Self-Taught,"Excel, Highcharts, Illustrator, Mapbox, kepler.gl, Plotly, Power BI, QGIS, Canvas, Matplotlib, Flourish"
Mostly Self-Taught,"Excel, Illustrator"
Mostly Self-Taught,"Python, Vega"
Equal Parts School and Self-Taught,"Cytoscape, Excel, ggplot2, R, Pen & Paper"
Mostly Self-Taught,"D3, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, D3, Excel, Illustrator, Leaflet, Mapbox, Power BI, QGIS, R, Tableau, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, Illustrator, R, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, Angular, Excel, ggplot2, Gephi, Illustrator, Power BI, Python, R, Tableau, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Gephi, Python, R"
Mostly From School (or other formal courses),"ArcGIS, Excel, Illustrator, Mapbox, kepler.gl, Plotly, Python, QGIS, Tableau, Matplotlib"
Mostly Self-Taught,"R, Tableau"
Mostly Self-Taught,"D3, Excel, React, Tableau, Vue"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Python, R"
Mostly Self-Taught,"Excel, Python, Tableau, Matplotlib"
Mostly Self-Taught,ggplot2
Equal Parts School and Self-Taught,"Pen & Paper, Other physical materials, MS Office"
Mostly Self-Taught,"Excel, Leaflet, Plotly, Power BI, Python, QGIS, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"ArcGIS, D3, Excel, ggplot2, Highcharts, Leaflet, Mapbox, Plotly, Power BI, Python, QGIS, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Mapbox, QGIS, R, Tableau"
Mostly Self-Taught,"Power BI, Tableau"
Mostly Self-Taught,"Python, Tableau"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Mapbox, Tableau"
Equal Parts School and Self-Taught,"Excel, Illustrator, Mapbox, Tableau, Pen & Paper, Other physical materials"
Equal Parts School and Self-Taught,"Excel, ggplot2, Python, R, Tableau, Matplotlib"
Mostly Self-Taught,"ggplot2, Gephi, Highcharts, Leaflet, Plotly, R"
Mostly Self-Taught,Tableau
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Illustrator, Mapbox, Plotly, Python, Tableau, WebGL"
Mostly Self-Taught,"D3, ggplot2, Illustrator, R, Pen & Paper"
Mostly Self-Taught,"D3, ggplot2, Leaflet, Plotly, Python, R"
Mostly Self-Taught,"D3, Plotly, Python, Vega, Matplotlib"
Mostly Self-Taught,"ggplot2, Illustrator, Python, R, Matlab"
Mostly Self-Taught,"ggplot2, Leaflet, R"
Mostly Self-Taught,R
Mostly Self-Taught,"D3, Gephi, Plotly, Python"
Mostly Self-Taught,"Excel, Tableau"
Mostly From School (or other formal courses),"Excel, Power BI, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, R"
Mostly Self-Taught,"Python, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Python, R, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, Excel, Highcharts, Illustrator, Mapbox, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, R, WebGL"
Mostly Self-Taught,"Excel, ggplot2, Gephi, R, Tableau"
Mostly Self-Taught,"Excel, Gephi, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, R, Pen & Paper, Matlab, ShowMyData.org"
Mostly Self-Taught,"Illustrator, Tableau"
Mostly Self-Taught,"D3, Google Sheets"
Mostly Self-Taught,Excel
Mostly Self-Taught,"Excel, Python, Tableau"
Mostly Self-Taught,"Excel, Gephi, R, Tableau"
Mostly Self-Taught,"D3, Power BI, other bi tools"
Mostly From School (or other formal courses),"Excel, Microstrategy, Power BI, Python"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"ggplot2, Gephi, Power BI, Python, R, Tableau"
Mostly Self-Taught,"ArcGIS, Excel, Python, R, Tableau"
Mostly Self-Taught,"Microstrategy, Tableau"
Mostly Self-Taught,"ggplot2, Plotly, Python, R"
Mostly Self-Taught,"Cytoscape, D3, ggplot2, Java, Plotly, Processing, Python, R, React, WebGL, Canvas, P5/Processing, Cytoscape.js"
Mostly Self-Taught,"ggplot2, Leaflet, Plotly, QGIS, R"
Mostly Self-Taught,"ArcGIS, Excel, Qlik, Tableau"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Power BI, Pen & Paper, Visio"
Mostly Self-Taught,"Excel, Domo"
Mostly Self-Taught,"Excel, ggplot2, Python, R, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, R"
Mostly Self-Taught,Tableau
Mostly Self-Taught,Qlik
Mostly Self-Taught,"D3, Excel, Microstrategy, Python, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Power BI, Python, Qlik, R"
Mostly Self-Taught,"Power BI, Pen & Paper"
Mostly Self-Taught,"R, Tableau"
Mostly Self-Taught,"Tableau, SAP Business Objects"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"Power BI, Tableau"
Mostly Self-Taught,Tableau
Mostly Self-Taught,Tableau
Mostly Self-Taught,"D3, Excel, ggplot2, R"
Mostly Self-Taught,"Excel, Python, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Power BI, R, Tableau, Flourish"
Mostly Self-Taught,"ArcGIS, Illustrator, Mapbox, kepler.gl, QGIS, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Angular, Excel, ggplot2, Highcharts, Illustrator, Leaflet, Mapbox, Plotly, R, Tableau, Vega, Pen & Paper"
Mostly Self-Taught,"D3, Excel, PowerPoint"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Python, QGIS, R"
Mostly Self-Taught,"ArcGIS, ggplot2, Plotly, Power BI, Python, R"
Mostly Self-Taught,"Java, Python, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Python, Vue, Matplotlib"
Equal Parts School and Self-Taught,"D3, Python, WebGL, P5/Processing"
Mostly Self-Taught,"D3, ggplot2, Leaflet, QGIS, R, Tableau, Pen & Paper, Canvas"
Mostly Self-Taught,"Excel, ggplot2, Leaflet, Plotly, Python, R, Tableau, Pen & Paper, Matplotlib"
Mostly Self-Taught,"D3, ggplot2, Python, R"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"ggplot2, R, Pen & Paper"
Mostly Self-Taught,"Python, Matplotlib"
Mostly Self-Taught,"Python, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, R, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Plotly, Python, R, Vega, Matplotlib, Looker"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Highcharts, Illustrator, Leaflet, Mapbox, React, Tableau, Vue, Pen & Paper"
Mostly Self-Taught,"Illustrator, Python, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Illustrator, Java, QGIS, Tableau, Web Components, Pen & Paper, Canvas"
Mostly Self-Taught,"Illustrator, Java, Processing, WebGL, Pen & Paper, Canvas, P5/Processing, Unity3D "
Mostly Self-Taught,"D3, Excel, Illustrator, Plotly, Python, Vue"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau"
Mostly Self-Taught,"Excel, Power BI"
Mostly Self-Taught,"Power BI, Tableau"
Mostly Self-Taught,"D3, Excel, Gephi, React, Semiotic, Tableau, Web Components, WebGL, Pen & Paper, Other physical materials, Canvas"
Equal Parts School and Self-Taught,"Power BI, Tableau, Alteryx"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Illustrator, Plotly, QGIS, R"
Equal Parts School and Self-Taught,"ArcGIS, ggplot2, Plotly, Power BI"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, R, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Python, Tableau, WebGL, Pen & Paper, Canvas"
Mostly Self-Taught,"D3, Gephi, Leaflet, Processing, Python, QGIS, P5/Processing"
Mostly Self-Taught,"D3, ggplot2, Illustrator, R"
Mostly Self-Taught,"D3, ggplot2, Power BI, R, Tableau"
Mostly Self-Taught,Excel
Equal Parts School and Self-Taught,"Excel, ggplot2, Plotly, Power BI, Python, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Power BI, R"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Python, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Power BI, R, Tableau, Matplotlib"
Mostly Self-Taught,"Excel, Power BI, Matplotlib"
Mostly Self-Taught,"Excel, Python, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"Qlik, ThoughtSpot"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Plotly, R"
Mostly Self-Taught,"Excel, Power BI, Python, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Equal Parts School and Self-Taught,"Excel, Tableau, SAS"
Mostly Self-Taught,"Excel, Mapbox, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Power BI, Python, R"
Equal Parts School and Self-Taught,"ArcGIS, QGIS, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Illustrator, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Pen & Paper"
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, Illustrator, Leaflet, Plotly, Python, R"
Mostly Self-Taught,"ArcGIS, D3, ggplot2, Mapbox, Plotly, Python, React, Vega"
Mostly Self-Taught,"D3, ggplot2, Mapbox, QGIS, R, React, Semiotic, Vega, WebGL, Pen & Paper, elm-visualization"
Mostly Self-Taught,"ArcGIS, Pen & Paper, Canvas"
Mostly Self-Taught,"D3, ggplot2, R, Tableau, Chartio"
Mostly Self-Taught,"Plotly, Power BI, Python, Matplotlib"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Excel, ggplot2, Plotly, Python, R"
Mostly Self-Taught,"ArcGIS, Excel, Gephi, Leaflet, Mapbox, Plotly, Python, QGIS, Tableau"
Mostly Self-Taught,"Cytoscape, Excel, Gephi, Illustrator, Mapbox, kepler.gl, Python, QGIS, Tableau, Vega, WebGL, Pen & Paper, Canvas, Raw Graphs, Flourish, Infogram"
Mostly Self-Taught,"D3, Excel, Python, QGIS, Matplotlib"
Equal Parts School and Self-Taught,"D3, ggplot2, Illustrator, QGIS, R"
Mostly Self-Taught,"D3, Excel, ggplot2, Leaflet, Plotly, Power BI, R, React, Web Components, Other physical materials"
Equal Parts School and Self-Taught,"Cytoscape, D3, ggplot2, Python, R, React, Vega, Looker, Semiotic"
Mostly Self-Taught,"D3, Mapbox, kepler.gl, Qlik, R, React, Semiotic, Web Components, WebGL, Pen & Paper, Other physical materials, Greensock, Canvas"
Mostly Self-Taught,"D3, Plotly, Python, Tableau"
Mostly Self-Taught,"Plotly, Python"
Equal Parts School and Self-Taught,"Power BI, Python, Matplotlib"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Leaflet, Python, R, Tableau, Matplotlib"
Mostly Self-Taught,"D3, Excel, ggplot2, Leaflet, Power BI, Python, R"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Python, Metabase"
Mostly Self-Taught,"D3, Excel, ggplot2, R"
Mostly Self-Taught,"D3, Excel, Power BI, Python"
Mostly Self-Taught,"D3, Gephi, Leaflet, kepler.gl, Python, Tableau, WebGL, Canvas, P5/Processing"
Mostly Self-Taught,"D3, ggplot2, Leaflet, Plotly, Python, R, Vega"
Mostly Self-Taught,"D3, ggplot2, Plotly, Python, R, matplotlib, seaborn, grid, lattice"
Equal Parts School and Self-Taught,"D3, ggplot2, Plotly, Python, R, Tableau, Pen & Paper, Matplotlib, Holoviews"
Mostly Self-Taught,"D3, ggplot2, Plotly, Python, R, Vue, Pen & Paper"
Mostly Self-Taught,"D3, ggplot2, Python, R, Pen & Paper, Matplotlib"
Mostly Self-Taught,"D3, Highcharts, Leaflet, R"
Mostly Self-Taught,"D3, Leaflet, Python, QGIS"
Mostly Self-Taught,"D3, Plotly, Power BI, Python, Pen & Paper, Matplotlib"
Mostly Self-Taught,"D3, Python, Tableau, Vue"
Mostly Self-Taught,"Excel, ggplot2, Gephi, Plotly, Power BI, Python, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Leaflet, Python, QGIS, R, Tableau"
Mostly Self-Taught,"Gephi, Python, Tableau, Matplotlib, Seaborn, Yellowbrick "
Mostly Self-Taught,"ggplot2, Gephi, Plotly, Tableau, Pen & Paper"
Mostly Self-Taught,"ggplot2, Gephi, R, Vega"
Mostly Self-Taught,"ggplot2, Highcharts, Leaflet, Plotly, Processing, R, Vega, P5/Processing"
Mostly Self-Taught,"ggplot2, Highcharts, Leaflet, Plotly, R"
Mostly Self-Taught,"ggplot2, Leaflet, Plotly, R"
Mostly Self-Taught,"ggplot2, Plotly, Python, R, Matplotlib"
Mostly Self-Taught,"ggplot2, Plotly, Python, R, Matplotlib, altair (python)"
Mostly Self-Taught,"ggplot2, Plotly, R, Tableau"
Mostly Self-Taught,"ggplot2, Tableau"
Mostly Self-Taught,"Plotly, Python, Vega, Matplotlib, Seaborn"
Mostly Self-Taught,Python
Mostly Self-Taught,"Python, Matplotlib"
Equal Parts School and Self-Taught,"Python, Tableau"
Mostly Self-Taught,Tableau
Mostly Self-Taught,Tableau
Equal Parts School and Self-Taught,"D3, Angular, Highcharts, Illustrator, Plotly, Python, Vega"
Equal Parts School and Self-Taught,"Excel, Power BI, Pen & Paper, Metabase"
Mostly Self-Taught,"ArcGIS, D3, Excel, Gephi, Illustrator, Mapbox, QGIS, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, RAW, Charticulator"
Mostly Self-Taught,"D3, Excel, Illustrator, Python, React, Greensock, Matplotlib"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Mapbox, QGIS, Pen & Paper, P5/Processing"
Equal Parts School and Self-Taught,"D3, React"
Mostly Self-Taught,"Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Illustrator, Python"
Mostly Self-Taught,"D3, Excel, Leaflet, Mapbox, QGIS, R, WebGL, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Illustrator, Power BI, Tableau"
Equal Parts School and Self-Taught,"D3, Excel, Tableau, Vega, Vue"
Mostly From School (or other formal courses),"Plotly, Python"
Mostly Self-Taught,"D3, Excel, Illustrator, React"
Equal Parts School and Self-Taught,"D3, Illustrator, QGIS, React, Pen & Paper, Canvas, P5/Processing, Nodebox"
Mostly Self-Taught,"D3, Highcharts, Illustrator, Mapbox, Processing, Python, WebGL, Canvas, P5/Processing"
Equal Parts School and Self-Taught,"Cytoscape, D3, Angular, React, Pen & Paper, iPad"
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, Illustrator, Processing, Python, R, Vue, WebGL, P5/Processing, pixi.js"
Mostly Self-Taught,"D3, Mapbox, React, Pen & Paper, Arcadia Data, Turf.js"
Mostly Self-Taught,"D3, React, Tableau"
Equal Parts School and Self-Taught,Tableau
Equal Parts School and Self-Taught,"ArcGIS, D3, Excel, Illustrator, Leaflet, Python, QGIS"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, R"
Equal Parts School and Self-Taught,"D3, Illustrator, React, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Highcharts, Tableau, Vue"
Mostly Self-Taught,"ggplot2, Leaflet, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Mapbox, QGIS, Tableau, Pen & Paper, Alteryx"
Mostly Self-Taught,"Power BI, Qlik, R, Tableau"
Mostly From School (or other formal courses),"Illustrator, Processing, Tableau, WebGL, Pen & Paper"
Mostly Self-Taught,"D3, Illustrator, Leaflet, Mapbox, React, WebGL"
Mostly Self-Taught,"D3, Gephi, Mapbox, Python, React, Tableau, Vega, Other physical materials"
Mostly Self-Taught,"Excel, Power BI, Salesforce"
Mostly Self-Taught,"Excel, ggplot2, Mapbox, Python, R, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Illustrator, QGIS, Flourish, amCharts, Raw"
Mostly Self-Taught,Power BI
Mostly Self-Taught,"Illustrator, Tableau"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Python, R, Tableau, Pen & Paper, Other physical materials"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Illustrator, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, Illustrator, Mapbox, Processing, Greensock"
Mostly Self-Taught,"D3, Excel, Processing, Python, Google Sheets"
Mostly Self-Taught,"D3, Excel, Python, QGIS, React, Pen & Paper, Canvas"
Mostly Self-Taught,"Python, Matplotlib"
Mostly Self-Taught,"ggplot2, Illustrator, R, Tableau"
Mostly Self-Taught,"ArcGIS, D3, Excel, ggplot2, Illustrator, Power BI, Python, R, WebGL, Pen & Paper"
Equal Parts School and Self-Taught,"D3, Illustrator, Mapbox, Python, QGIS, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Illustrator, Power BI, Pen & Paper, Igor Pro from Wavemetrics"
Mostly Self-Taught,"ArcGIS, Excel, Qlik"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Qlik, Tableau"
Mostly Self-Taught,"Cytoscape, D3, ggplot2, Gephi, Illustrator, Leaflet, Mapbox, Python, R, React, Vue, Pen & Paper, P5/Processing"
Mostly Self-Taught,"Excel, Illustrator, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, R"
Mostly Self-Taught,"Excel, R, Tableau"
Mostly Self-Taught,"ArcGIS, D3, Excel, Illustrator, Mapbox, Plotly, Processing, Python, R, React, WebGL, P5/Processing, Matplotlib"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Processing, Python, R, Tableau"
Equal Parts School and Self-Taught,"ggplot2, Python, R, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Plotly, Python, React, Canvas, Matplotlib"
Mostly Self-Taught,"D3, Python, Tableau, Web Components, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, ggplot2, Leaflet, R, Vue, Canvas"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Mapbox, Plotly, R, Tableau, Web Components"
Mostly Self-Taught,"Excel, Gephi, Power BI, QGIS"
Mostly Self-Taught,"ggplot2, Java, R, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, ggplot2, Illustrator, QGIS, R, Tableau, Web Components"
Mostly Self-Taught,"D3, Mapbox, kepler.gl, QGIS, Tableau, WebGL"
Mostly Self-Taught,"Excel, Illustrator, Tableau"
Equal Parts School and Self-Taught,"Excel, Python, Vue, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Pen & Paper"
Mostly Self-Taught,"D3, Python"
Equal Parts School and Self-Taught,"ggplot2, R, Tableau, SAS"
Mostly Self-Taught,"ArcGIS, Excel, Python, Tableau"
Mostly Self-Taught,"Excel, Power BI"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Mapbox, Plotly, Power BI, Python, Qlik, R, React, Tableau, WebGL, Greensock, Canvas"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Highcharts, Plotly, Python, R"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"D3, Angular, Excel, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Highcharts, R, Web Components, Pen & Paper, Canvas, SVG, Smalltalk"
Mostly Self-Taught,"D3, Angular, Excel, Illustrator, QGIS, Vue"
Mostly Self-Taught,"D3, ggplot2, Illustrator, kepler.gl, QGIS, R, React, WebGL, Pen & Paper, Canvas"
Mostly Self-Taught,"D3, Python, QGIS, Tableau"
Mostly Self-Taught,"D3, Angular, Highcharts, Leaflet, React, Web Components, Knowage"
Mostly Self-Taught,"D3, Angular"
Mostly Self-Taught,D3
Mostly Self-Taught,"D3, Python, React"
Equal Parts School and Self-Taught,"D3, React"
Mostly Self-Taught,"ArcGIS, Leaflet, Mapbox, kepler.gl, Power BI, Python, QGIS"
Equal Parts School and Self-Taught,"ArcGIS, Excel, Illustrator, R"
Mostly Self-Taught,"ArcGIS, Excel"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Leaflet, QGIS, R, Pen & Paper, Figma"
Mostly From School (or other formal courses),"Excel, ggplot2, Leaflet, Plotly, Python, R"
Equal Parts School and Self-Taught,"ggplot2, Plotly, Python, R"
Equal Parts School and Self-Taught,"Python, Matplotlib, inkskape"
Mostly Self-Taught,react-vis
Mostly Self-Taught,"Excel, Python, Matplotlib, libre office"
Mostly Self-Taught,Python
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Processing, R, Tableau, Pen & Paper, P5/Processing"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, QGIS, R, Pen & Paper"
Mostly Self-Taught,"D3, ggplot2, Illustrator, QGIS, R, Pen & Paper, Canvas"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Leaflet, Mapbox, QGIS, R, React, Vue, Pen & Paper, Canvas"
Mostly Self-Taught,"Excel, ggplot2, R, RawGraphs.io"
Mostly Self-Taught,"Excel, Mapbox, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, PowerPoint"
Mostly Self-Taught,"D3, R"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Plotly, Python, QGIS, Matplotlib"
Equal Parts School and Self-Taught,"Excel, ggplot2, Microstrategy, Plotly, R"
Mostly Self-Taught,"Excel, Python, Matplotlib"
Equal Parts School and Self-Taught,"Excel, ggplot2, Highcharts, R, Tableau"
Mostly Self-Taught,"Excel, Canvas"
Mostly Self-Taught,"D3, Excel, Python, Tableau, Bokeh"
Mostly Self-Taught,"D3, ggplot2, Leaflet, Plotly, Python, R"
Mostly Self-Taught,Tableau
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Power BI, Tableau, Vega"
Mostly Self-Taught,"ArcGIS, Excel, Illustrator, Mapbox, QGIS, Tableau, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Plotly, Power BI, Python, R, Matplotlib"
Mostly Self-Taught,Excel
Mostly Self-Taught,"Illustrator, Power BI, Python, Tableau, Canvas"
Mostly Self-Taught,"ggplot2, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau"
Equal Parts School and Self-Taught,"D3, Illustrator, QGIS, React"
Mostly From School (or other formal courses),"Excel, Power BI, Tableau"
Mostly Self-Taught,"Power BI, Python, Tableau, BO"
Mostly Self-Taught,"D3, Excel, Leaflet, React, Vega"
Mostly Self-Taught,"D3, Excel, Python, R, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"D3, Excel, Plotly, Python, Vega, Vue"
Mostly Self-Taught,"Power BI, Python"
Mostly Self-Taught,Python
Equal Parts School and Self-Taught,"Excel, Illustrator, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Mapbox, kepler.gl, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, R"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau, Business Objects"
Mostly Self-Taught,"Excel, Illustrator, QGIS"
