Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What technologies do you use to visualize data? Select all that apply.
Mostly Self-Taught,"Excel, Power BI, Python, QGIS, R, Tableau, Pen & Paper, Google Data Studio"
Mostly Self-Taught,"Python, Tableau"
Mostly Self-Taught,
Mostly Self-Taught,"Plotly, Python, Pen & Paper, Matplotlib, Tikz, Coreldraw, Inkscape"
Equal Parts School and Self-Taught,"D3, ggplot2, Plotly, Python, R, Tableau, Vue, WebGL, Pen & Paper"
Mostly Self-Taught,"D3, Python, Vue, Web Components, WebGL, Canvas"
Mostly Self-Taught,"Excel, Illustrator, animate cc"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper, PowerPoint"
Mostly Self-Taught,"Leaflet, kepler.gl, QGIS, Mathematica"
Mostly Self-Taught,"D3, Excel, ggplot2, Python, R, Matplotlib"
Mostly Self-Taught,"D3, Excel, Plotly, Python, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Power BI"
Mostly Self-Taught,"Excel, ggplot2, Power BI, R"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"Mapbox, Microstrategy, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, ggplot2, Gephi, Power BI, Python, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Gephi, Illustrator, Leaflet, Processing, QGIS, R, Tableau, Pen & Paper, Canvas, P5/Processing"
Mostly Self-Taught,"D3, Angular, ggplot2, Illustrator"
Mostly Self-Taught,"Mapbox, Power BI, Tableau"
Equal Parts School and Self-Taught,"D3, Mapbox, Python, QGIS, Tableau"
Mostly Self-Taught,"D3, Excel, Highcharts, Java, QGIS, Fluorish, Google Map"
Equal Parts School and Self-Taught,"Excel, ggplot2, Plotly, Python, R, Tableau"
Mostly Self-Taught,"D3, Angular, Excel, ggplot2, Illustrator, Leaflet, Mapbox, Plotly, QGIS, R, React, Web Components, WebGL"
Mostly Self-Taught,"D3, ggplot2, Plotly, Power BI, Processing, Python, R, React, P5/Processing"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Power BI, Python, R, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Java, Leaflet, Mapbox, kepler.gl, Plotly, QGIS, R, Pen & Paper, Google Data Studio, Facebook Analytics, Gamesparks"
Mostly Self-Taught,"Excel, Illustrator, Mapbox, Power BI, Python, Tableau, Pen & Paper, Matplotlib"
Mostly Self-Taught,"ggplot2, Illustrator, Leaflet, R, Tableau"
Mostly Self-Taught,"D3, Excel, Gephi, Illustrator, Mapbox, QGIS, Tableau, Web Components, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Leaflet, Mapbox, QGIS, R, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Mapbox, Power BI, QGIS, R, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Gephi, Illustrator, Leaflet, QGIS, R, Pen & Paper"
Mostly Self-Taught,"Illustrator, Mapbox, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Illustrator, Tableau, Vega, Pen & Paper"
Mostly Self-Taught,"D3, Angular, Mapbox, kepler.gl, Plotly, React, WebGL, Canvas"
Mostly Self-Taught,"D3, Excel, ggplot2, Plotly, Python, Pen & Paper, Matplotlib"
Mostly From School (or other formal courses),"D3, ggplot2, Gephi, Illustrator, Leaflet, Mapbox, kepler.gl, Plotly, Processing, Python, R, Tableau, WebGL, Canvas, P5/Processing, Unity3D"
Mostly Self-Taught,"D3, Excel, Python, QGIS, R, Vue, Canvas"
Mostly Self-Taught,"D3, Gephi, Mapbox, Python, QGIS, React, Tableau, Pen & Paper, Other physical materials, Greensock, Canvas, Three.js"
Mostly Self-Taught,"D3, Tableau"
Mostly Self-Taught,"ggplot2, Illustrator, R, Tableau"
Mostly Self-Taught,"D3, Excel, ggplot2, Gephi, Highcharts, Illustrator, Leaflet, Mapbox, Plotly, Processing, QGIS, Qlik, R, Tableau, Vega, Web Components, Pen & Paper, P5/Processing"
Mostly Self-Taught,Excel
Mostly Self-Taught,"D3, Excel, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, D3, Angular, Excel, Processing, QGIS, Pen & Paper, P5/Processing"
Mostly Self-Taught,"Excel, Illustrator, Pen & Paper, Other physical materials"
Mostly Self-Taught,"Illustrator, Pen & Paper, Infogram"
Mostly Self-Taught,"D3, React, Vue"
Mostly Self-Taught,"D3, Angular, Leaflet, Mapbox, Plotly, Power BI, Python, React, Tableau, Vue"
Mostly Self-Taught,"Excel, Illustrator, Mapbox, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Python, R, React, Matplotlib"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Illustrator, Leaflet, Mapbox, Plotly, R, Pen & Paper"
Mostly Self-Taught,"ArcGIS, D3, Excel, Highcharts, Illustrator, Leaflet, Mapbox, Power BI, Pen & Paper"
Mostly Self-Taught,"D3, Excel, ggplot2, Leaflet, Plotly, Python, Canvas, Matplotlib"
Equal Parts School and Self-Taught,"React, Pen & Paper, Vector tools, Illustrator, Adobe XD"
Mostly Self-Taught,"D3, Mapbox, React, WebGL, deck.gl"
Mostly Self-Taught,"ArcGIS, Excel, Python, Tableau"
Mostly Self-Taught,"Illustrator, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, Excel, ggplot2, Plotly, Power BI, Python, R, Tableau"
Mostly Self-Taught,"D3, Excel, Leaflet, Mapbox, kepler.gl, Power BI, Python, QGIS, Tableau, Vue, WebGL"
Equal Parts School and Self-Taught,"ArcGIS, Angular, Excel, Illustrator, Java, Leaflet, Mapbox, Power BI, Python, QGIS, R, Tableau, WebGL, Pen & Paper"
Mostly Self-Taught,"D3, Mapbox, kepler.gl, Processing, React, Vega, WebGL, Pen & Paper, Canvas, P5/Processing"
Mostly Self-Taught,"D3, Python, R, Tableau"
Mostly Self-Taught,"ArcGIS, Gephi, Illustrator, Mapbox, QGIS, Tableau"
Mostly Self-Taught,"ArcGIS, Illustrator, Mapbox, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Illustrator, Mapbox, Python, QGIS, R, Tableau, Vega, Pen & Paper, P5/Processing"
Mostly Self-Taught,"Excel, Illustrator, R"
Mostly Self-Taught,"Excel, Illustrator, Tableau, InDesign, Datawrapper"
Equal Parts School and Self-Taught,"ggplot2, Leaflet, Mapbox, Plotly, R, Tableau"
Equal Parts School and Self-Taught,"Excel, ggplot2, R, Pen & Paper"
Mostly Self-Taught,"D3, Leaflet, Mapbox, Python, QGIS, R, React, Vue, Pen & Paper, Numbers"
Mostly Self-Taught,"ggplot2, Illustrator, QGIS, R, Pen & Paper, P5/Processing"
Mostly Self-Taught,"ArcGIS, Excel, Highcharts, Leaflet, Mapbox, Power BI, QGIS"
Mostly Self-Taught,"Mapbox, kepler.gl, Python, QGIS, Apache superset"
Mostly Self-Taught,"Power BI, QGIS, R"
Mostly Self-Taught,"Excel, ggplot2, Power BI, R, WebGL, Pen & Paper, Other physical materials"
Mostly Self-Taught,"Power BI, Qlik, Tableau"
Mostly Self-Taught,"D3, React"
Mostly Self-Taught,"D3, Excel, Tableau, Google Data Studio"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Tableau, Pen & Paper"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"D3, Excel, ggplot2, Python, R, Tableau, Matplotlib"
Mostly Self-Taught,"D3, ggplot2, Leaflet, Mapbox, R, Tableau, Vue, P5/Processing"
Mostly Self-Taught,"D3, Python, matplotlib, libsvgwrite"
Mostly Self-Taught,"Excel, Python, Tableau, Matplotlib"
Mostly Self-Taught,"ggplot2, Highcharts, Leaflet, Mapbox, Plotly, R"
Mostly Self-Taught,Excel
Equal Parts School and Self-Taught,"D3, ggplot2, Illustrator, Leaflet, Mapbox, Power BI, Python, R, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,R
Mostly Self-Taught,"D3, Excel, Highcharts, Illustrator, Microstrategy, Power BI, Processing, Qlik, R, Tableau, Pen & Paper, Other physical materials, OmniGraffle"
Mostly Self-Taught,"Excel, Tableau, PowerPoint"
Mostly Self-Taught,"D3, Angular, Excel, Leaflet, Pen & Paper, Canvas"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Tableau, Pen & Paper"
Mostly Self-Taught,"Tableau, Alteryx"
Equal Parts School and Self-Taught,"D3, Java, Processing, Python, Tableau, Pen & Paper, P5/Processing"
Mostly Self-Taught,"ggplot2, Java, Plotly, Python, R, Pen & Paper"
Mostly Self-Taught,"ArcGIS, ggplot2, Illustrator, QGIS, R, Pen & Paper"
Equal Parts School and Self-Taught,"Microstrategy, Power BI, Qlik, Tableau, SAP Lumira, WebI, Tibco Spotfire"
Mostly Self-Taught,"Excel, ggplot2, Highcharts, Leaflet, Mapbox, Plotly, R"
Mostly Self-Taught,"ggplot2, R"
Equal Parts School and Self-Taught,"D3, Angular, ggplot2, Illustrator, Leaflet, Mapbox, kepler.gl, Plotly, Python, R, React, Tableau, Vega, Vue, Web Components, WebGL, Pen & Paper, Greensock, Canvas, Matplotlib"
Mostly Self-Taught,"Python, Tableau, Web Components, Pen & Paper, Matplotlib"
Equal Parts School and Self-Taught,"ArcGIS, Excel, ggplot2, R, Stata"
Mostly Self-Taught,"ArcGIS, Python, QGIS, Tableau"
Mostly Self-Taught,"Excel, Gephi, Illustrator, R, Tableau, Pen & Paper"
Mostly Self-Taught,"ggplot2, Leaflet, QGIS, R, Shiny (R)"
Mostly Self-Taught,"Excel, Illustrator, React, Tableau"
Mostly Self-Taught,"D3, ggplot2, Gephi, Power BI, Tableau"
Mostly From School (or other formal courses),"Excel, Power BI, Tableau"
Mostly Self-Taught,"ArcGIS, Excel, Mapbox, Microstrategy, Power BI, Qlik, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Power BI, R, Tableau"
Mostly Self-Taught,"D3, Excel, Illustrator, Python"
Mostly Self-Taught,"D3, Excel, Power BI, Tableau"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"ggplot2, R, Affinity Designer"
Mostly Self-Taught,Excel
Mostly Self-Taught,"D3, Leaflet, Python, React, WebGL, Pen & Paper, Canvas, Matplotlib"
Mostly Self-Taught,"D3, ggplot2, Leaflet, Python, React, WebGL, Pen & Paper, Other physical materials, Canvas"
Mostly Self-Taught,"ArcGIS, Excel, Highcharts, Illustrator, Leaflet, Mapbox, kepler.gl, Python, QGIS, WebGL"
Mostly Self-Taught,"D3, Excel, Gephi, Vue, Javascript"
Mostly Self-Taught,"Excel, ggplot2, R, Tibco Spotfire"
Mostly Self-Taught,"D3, Highcharts, Illustrator, Mapbox, Plotly"
Mostly Self-Taught,"Excel, Illustrator, Pen & Paper"
Equal Parts School and Self-Taught,"D3, ggplot2, Power BI, Python, R, Tableau, Matplotlib"
Mostly Self-Taught,"D3, Java, Leaflet, Mapbox, Python, QGIS, React"
Mostly Self-Taught,"D3, Highcharts, React, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Python, QGIS, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Mapbox, Power BI, R, Tableau"
Mostly Self-Taught,"Highcharts, Plotly, Python, Matplotlib"
Mostly Self-Taught,"D3, React, WebGL, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"ggplot2, Illustrator, Leaflet, R, Pen & Paper"
Mostly Self-Taught,"D3, Illustrator, Mapbox, kepler.gl, Processing, Python, WebGL, Other physical materials, P5/Processing"
Mostly Self-Taught,"D3, Angular, Illustrator, Power BI, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Power BI, Python, R, Tableau, Matplotlib"
Mostly Self-Taught,"Power BI, Tableau"
Mostly Self-Taught,"D3, Illustrator, Mapbox, Processing, QGIS, R, Web Components, Pen & Paper, P5/Processing"
Mostly Self-Taught,"ArcGIS, Python, QGIS, R, Vega, Matplotlib"
Mostly Self-Taught,"D3, Angular, Excel, Java, Python, React, Web Components, PHP, mySQL"
Mostly Self-Taught,"D3, Angular, Illustrator"
Mostly Self-Taught,"D3, Excel, ggplot2, Mapbox, Plotly, Power BI, Python, Tableau, Matplotlib"
Equal Parts School and Self-Taught,"D3, Gephi, Python, R, Spotfire"
Mostly Self-Taught,"D3, Microstrategy, Power BI, Python, Qlik"
Mostly Self-Taught,"Excel, ggplot2, Leaflet, Mapbox, Power BI, Python, QGIS, R, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Python, QGIS, Tableau, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Excel, Processing, P5/Processing"
Mostly Self-Taught,"Excel, Python, R"
Mostly Self-Taught,"ggplot2, Illustrator, Plotly, Python, R, Matplotlib"
Mostly Self-Taught,"ggplot2, Power BI"
Mostly Self-Taught,"ggplot2, Python, R, Matplotlib"
Mostly Self-Taught,"Illustrator, Pen & Paper"
Mostly Self-Taught,Pen & Paper
Mostly Self-Taught,"Plotly, Python, Tableau, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Java, Plotly, Power BI, Python, R, Tableau, Vega"
Mostly Self-Taught,"D3, ggplot2, Leaflet, Plotly, Python, R, Vega, WebGL"
Mostly Self-Taught,"D3, Excel, Power BI, Python, R"
Mostly Self-Taught,"D3, Excel, Illustrator, Leaflet, Mapbox, Power BI, Pen & Paper, Whiteboard"
Mostly Self-Taught,"D3, Illustrator, Python, Pen & Paper, Sketch, Google Sheets"
Mostly Self-Taught,"D3, ggplot2, Illustrator, Plotly, R, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Illustrator, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Gephi"
Mostly Self-Taught,"D3, React, Vega, Web Components"
Mostly From School (or other formal courses),"ggplot2, R"
Mostly Self-Taught,"Excel, Mapbox, R"
Mostly Self-Taught,"D3, ggplot2, Plotly, R, Vega"
Equal Parts School and Self-Taught,"Excel, Highcharts, Data Studio, QuickSight"
Equal Parts School and Self-Taught,"Excel, ggplot2, Illustrator, Leaflet, Plotly, QGIS, R, Tableau, Microsoft Office PowerPoint"
Mostly Self-Taught,"Excel, Illustrator, Python, Matplotlib"
Equal Parts School and Self-Taught,"D3, ggplot2, Highcharts, R"
Mostly Self-Taught,"D3, Python, QGIS, Tableau, Canvas, Spotfire"
Equal Parts School and Self-Taught,"Excel, ggplot2, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, Excel, ggplot2, Gephi, Power BI, Python, QGIS, Qlik, R, Vue, Other physical materials, Matplotlib"
Mostly Self-Taught,"ggplot2, Leaflet, Plotly, Power BI, QGIS, R, Tableau, WebGL"
Mostly Self-Taught,"Excel, ggplot2, Python, seaboard & matplotlib (python)"
Mostly Self-Taught,"D3, Excel, ggplot2, Plotly, R, React"
Mostly Self-Taught,"D3, Excel, React, Vega, WebGL, Pen & Paper"
Mostly Self-Taught,"D3, Mapbox, Python, QGIS, React, Tableau, Greensock, Canvas"
Equal Parts School and Self-Taught,"D3, Angular, Mapbox, kepler.gl, React, Tableau, Vue, Web Components, WebGL, Pen & Paper, Canvas"
Mostly Self-Taught,"ggplot2, R"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Plotly, Power BI, QGIS"
Mostly Self-Taught,"D3, Excel, kepler.gl, Python, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Amcharts"
Mostly Self-Taught,"Illustrator, Pen & Paper, Other physical materials"
Equal Parts School and Self-Taught,"ArcGIS, Excel, ggplot2, Python, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"D3, Angular, ggplot2, Highcharts, R, React, Vue, WebGL, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Java, Mapbox, Processing, Pen & Paper, P5/Processing"
Mostly Self-Taught,"Excel, Python, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Cytoscape, D3, Angular, Excel, Gephi, Java, Leaflet, Mapbox, Processing, Python, R, WebGL, Pen & Paper, Canvas"
Mostly Self-Taught,"ArcGIS, D3, ggplot2, Highcharts, Mapbox, Plotly, Python, Qlik, R, React, Vue, Other physical materials, Matplotlib, Web Brain"
Mostly Self-Taught,"D3, Illustrator, Leaflet, Python, QGIS, WebGL, Canvas"
Equal Parts School and Self-Taught,"Excel, Mapbox, Power BI, Python, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Angular, Vue"
Mostly Self-Taught,"D3, Angular, Python, Web Components"
Equal Parts School and Self-Taught,"D3, Mapbox, React, Tableau, WebGL, Other physical materials"
Mostly Self-Taught,"Excel, ggplot2, Gephi, Illustrator, Plotly, R, Tableau, Vega, Pen & Paper, PowerPoint"
Equal Parts School and Self-Taught,"ArcGIS, Excel, Leaflet, Mapbox, kepler.gl, Python, QGIS, Tableau, Pen & Paper, Voyant, Carto, Processing"
Equal Parts School and Self-Taught,"Illustrator, Pen & Paper"
Mostly From School (or other formal courses),"Excel, Illustrator, R, Pen & Paper, Other physical materials, google sheets"
Mostly From School (or other formal courses),"Excel, Illustrator"
Equal Parts School and Self-Taught,"Excel, ggplot2, Python, R, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"D3, Mapbox, QGIS, React, Vue, WebGL, Pen & Paper"
Mostly Self-Taught,"Excel, Illustrator, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, ggplot2, Plotly, R, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau, Powerpoint"
Mostly Self-Taught,"Illustrator, PowerPoint"
Mostly Self-Taught,"Excel, Power BI"
Mostly Self-Taught,"Excel, Python, Tableau"
Mostly Self-Taught,"Illustrator, Pen & Paper"
Mostly Self-Taught,"Excel, Illustrator, Processing, Tableau, Pen & Paper, Other physical materials, P5/Processing"
Mostly Self-Taught,"Excel, Illustrator, Mapbox, Tableau, PowerPoint"
Mostly Self-Taught,Excel
Mostly From School (or other formal courses),"Excel, Tableau, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Mapbox, R, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"D3, Angular, Excel, R, Tableau, Pen & Paper"
Mostly Self-Taught,"R, Tableau"
Mostly Self-Taught,"ArcGIS, Excel, Illustrator, Plotly, Power BI, Tableau"
Mostly Self-Taught,"Excel, Illustrator, Tableau"
Mostly Self-Taught,"D3, Excel, Illustrator, Python, QGIS, R, React, Web Components, WebGL, Pen & Paper, Canvas, Google Sheets"
Equal Parts School and Self-Taught,"Excel, ggplot2, Gephi, Illustrator, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Plotly, Python, R"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, Excel, Illustrator, Tableau"
Mostly Self-Taught,"ArcGIS, D3, Excel, ggplot2, Illustrator, Leaflet, Python, QGIS, R, React, P5/Processing"
Mostly Self-Taught,"Excel, Power BI, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Plotly, R, SPSS, SAS"
Mostly Self-Taught,"Excel, spss"
Mostly Self-Taught,"Excel, Highcharts, Illustrator, Mapbox, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, ggplot2, Power BI, R, Tableau"
Mostly Self-Taught,"D3, Excel, Gephi, Mapbox, Power BI, R, Tableau"
Mostly Self-Taught,"Illustrator, Python, Tableau, Pen & Paper, Sisense"
Equal Parts School and Self-Taught,"ggplot2, R"
Equal Parts School and Self-Taught,"ggplot2, R"
Mostly Self-Taught,"Excel, Power BI, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Equal Parts School and Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Equal Parts School and Self-Taught,Tableau
Equal Parts School and Self-Taught,"Power BI, Looker"
Mostly Self-Taught,"ArcGIS, Tableau"
Mostly Self-Taught,"Excel, Python, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,Power BI
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Excel, Power BI"
Equal Parts School and Self-Taught,"Excel, ggplot2, Leaflet, Plotly, Power BI, Python, R, Tableau"
Mostly Self-Taught,"Excel, Illustrator"
Mostly Self-Taught,"D3, Excel, Illustrator, React"
Mostly Self-Taught,"Excel, Power BI, QGIS, Tableau"
Equal Parts School and Self-Taught,"Cytoscape, Excel, Illustrator, Java, Python, R, Tableau"
Mostly From School (or other formal courses),"D3, Angular, ggplot2, Illustrator, Power BI, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, Excel, Illustrator, Tableau, Web Components, Pen & Paper"
Mostly Self-Taught,"D3, Python, React, WebGL"
Mostly Self-Taught,"ArcGIS, ggplot2, Illustrator, R, Pen & Paper, Keynote"
Mostly Self-Taught,"Power BI, Tableau"
Mostly From School (or other formal courses),"Excel, Highcharts, Illustrator, Tableau, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, Power BI, R"
Equal Parts School and Self-Taught,"D3, Angular, Processing, Python, R, React, Web Components, Pen & Paper, Other physical materials"
Equal Parts School and Self-Taught,"Excel, Illustrator, Tableau, Flourish"
Mostly Self-Taught,Tableau
Equal Parts School and Self-Taught,"ArcGIS, D3, ggplot2, Leaflet, Plotly, R"
Mostly Self-Taught,"ArcGIS, Excel, Tableau, BusinessObjects"
Mostly Self-Taught,"Cytoscape, ggplot2, Gephi, Plotly, Python, R"
Mostly Self-Taught,"D3, Excel, Tableau, Pen & Paper, Other physical materials, goodData"
Equal Parts School and Self-Taught,Excel
Equal Parts School and Self-Taught,"Excel, ggplot2, Gephi, Python, R, Tableau"
Mostly Self-Taught,"Excel, Mapbox, Power BI, Python, Tableau"
Equal Parts School and Self-Taught,"Excel, Power BI, Python, R, Tableau"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper, Powerpoint"
Mostly From School (or other formal courses),"ggplot2, Power BI, R, Tableau"
Equal Parts School and Self-Taught,"ggplot2, R, Tableau"
Mostly Self-Taught,"Excel, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Highcharts, Leaflet, Plotly, Power BI, Python, R, Tableau, Matplotlib"
Mostly Self-Taught,"Power BI, Python, R, Tableau, TIBCO Spotfire"
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, QGIS, R, Tableau"
Equal Parts School and Self-Taught,"ggplot2, R"
Mostly Self-Taught,"ggplot2, R, Pen & Paper"
Mostly Self-Taught,"Excel, Keynote, Canva, Piktochart"
Equal Parts School and Self-Taught,Tableau
Mostly Self-Taught,Periscope Data
Equal Parts School and Self-Taught,"ArcGIS, Excel, ggplot2, Illustrator, Mapbox, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Highcharts, Python, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Illustrator, Mapbox, QGIS, R, Vega, Web Components, WebGL, Pen & Paper"
Equal Parts School and Self-Taught,"D3, ggplot2, Illustrator, Leaflet, QGIS, R"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Flourish"
Mostly From School (or other formal courses),"Excel, Python, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, Illustrator, Mapbox, Tableau, Canvas"
Mostly Self-Taught,"ArcGIS, Excel, Mapbox, Python, Tableau"
Mostly Self-Taught,"D3, ggplot2, Plotly, R, Tableau"
Mostly Self-Taught,"D3, ggplot2, Python, Tableau, Google Data Studio, DOMO"
Equal Parts School and Self-Taught,"ArcGIS, ggplot2, kepler.gl, Plotly, Power BI, Python, QGIS, R"
Mostly Self-Taught,"D3, Excel, Power BI, R, Tableau"
Mostly Self-Taught,"D3, ggplot2, R"
Mostly Self-Taught,"D3, ggplot2, R, Tableau, Vue, Pen & Paper"
Mostly Self-Taught,"D3, Illustrator"
Mostly From School (or other formal courses),"D3, Plotly, Python, Tableau"
Mostly Self-Taught,"Excel, Gephi, Mapbox, Python, Tableau, Matplotlib"
Mostly Self-Taught,"ggplot2, Illustrator, Plotly, Power BI, R, Pen & Paper"
Mostly Self-Taught,"ggplot2, Power BI, Python, R, Matplotlib"
Mostly Self-Taught,Python
Mostly Self-Taught,"ArcGIS, Excel, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, R, Tableau"
Equal Parts School and Self-Taught,Tableau
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, Illustrator, Mapbox, Plotly, Python, QGIS, R"
Mostly Self-Taught,"Excel, Power BI, Python, Tableau"
Mostly Self-Taught,"Excel, Illustrator, Power BI, R, Canvas"
Mostly Self-Taught,"D3, Excel, ggplot2, Gephi, Illustrator, QGIS, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"D3, ggplot2, R"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"D3, Excel, Illustrator, Leaflet, Mapbox"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"D3, ggplot2, Plotly, Processing, Python, React, Pen & Paper"
